date, price, load
2001-01-01 00:00:00, 1, 1
2001-01-01 00:00:15, 10, 5
2001-01-01 00:00:30, 20, 10
2001-01-01 00:00:45, 0, 0.1
2001-01-01 00:01:00, 8, 2.5
2001-01-01 00:01:15, 12, 3.5
2001-01-01 00:01:30, 15, 4.5
2001-01-01 00:01:45, 0, 0.1
2001-01-01 00:02:00, 30, 20
2001-01-01 00:02:15, 40, 30
2001-01-01 00:02:30, 50, 40
2001-01-01 00:02:45, 0, 0.1
2001-01-01 00:03:00, 60, 50
2001-01-01 00:03:15, 70, 60
2001-01-01 00:03:30, 80, 70
2001-01-01 00:03:45, 0, 0.1
2001-01-01 00:04:00, 90, 80
2001-01-01 00:04:15, 100, 90
2001-01-01 00:04:30, 110, 100
2001-01-01 00:04:45, 0, 0.1
2001-01-01 00:05:00, 120, 110
2001-01-01 00:05:15, 130, 120
2001-01-01 00:05:30, 140, 130
2001-01-01 00:05:45, 0, 0.1
2001-01-01 00:06:00, 150, 140
